StrandDecidingMethod	Sample	A2CEditingIndex	A2GEditingIndex	A2TEditingIndex	C2AEditingIndex	C2GEditingIndex	C2TEditingIndex	CellType	Age
StrandedData	Retinal-Epi_wk8_M8_2	0.039294995	0.61033681	0.045235108	0.052053167	0.044744623	0.175334013	Retinal-Epi	wk8
StrandedData	Retinal-Epi_wk10_A_2	0.058652034	1.39539467	0.064007779	0.070587942	0.067245219	0.24087772	Retinal-Epi	wk10
StrandedData	Retinal-Epi_wk10_A_3	0.04276497	0.935330845	0.04737026	0.054819465	0.046671767	0.184511216	Retinal-Epi	wk10
StrandedData	Retinal-Epi_wk10_A_4	0.048259191	1.195632299	0.049914858	0.056917741	0.052048164	0.192673595	Retinal-Epi	wk10
StrandedData	Retinal-Epi_wk10_B_1	0.05388117	0.816417181	0.062087167	0.070714768	0.062760088	0.2349354	Retinal-Epi	wk10
StrandedData	Retinal-Epi_wk10_B_3	0.04460326	1.024337399	0.046705003	0.051055151	0.049597156	0.18249734	Retinal-Epi	wk10
StrandedData	SCP_wk4_M1_1	0.055330002	0.6885919	0.061574503	0.069717177	0.063351264	0.22781233	SCP	wk4
StrandedData	SCP_wk4_M1_2	0.039008405	0.580581319	0.044061812	0.051407495	0.044881897	0.172833071	SCP	wk4
StrandedData	SCP_wk4_M14_1	0.059128808	0.575464541	0.07712781	0.05500601	0.049936621	0.190668069	SCP	wk4
StrandedData	SCP_wk6_M15_1	0.04877956	0.8261733	0.056339074	0.068010229	0.058578931	0.209683312	SCP	wk6
StrandedData	SCP_wk6_M9_1	0.07168043	2.271147679	0.078737149	0.083654241	0.085892431	0.297506991	SCP	wk6
StrandedData	SCP_wk8_M10_1	0.057717169	1.317511987	0.064021208	0.068392497	0.066658836	0.238634593	SCP	wk8
StrandedData	SCP_wk8_M8_1	0.054454353	1.04709389	0.059927474	0.069114331	0.060561778	0.218214808	SCP	wk8
StrandedData	SCP_wk8_M8_2	0.039942703	0.723193771	0.048139006	0.05398475	0.04624301	0.176588619	SCP	wk8
StrandedData	SCP_wk10_A_2	0.066177667	1.945036194	0.074668564	0.07656247	0.077738308	0.276131372	SCP	wk10
StrandedData	SCP_wk10_A_3	0.045198788	1.30506563	0.052744493	0.056548367	0.05350299	0.199336327	SCP	wk10
StrandedData	SCP_wk10_A_4	0.049516921	1.628083096	0.056198729	0.057066425	0.060029135	0.215004087	SCP	wk10
StrandedData	SCP_wk10_B_1	0.060063023	1.156632668	0.06579496	0.072010866	0.067746031	0.249233242	SCP	wk10
StrandedData	SCP_wk10_B_3	0.047238857	1.256840274	0.051128191	0.055811097	0.054199339	0.196767055	SCP	wk10
StrandedData	Definitive-Endoderm_wk4_M1_1	0.05616087	1.048736574	0.064735448	0.073564431	0.066972646	0.236517973	Definitive-Endoderm	wk4
StrandedData	Definitive-Endoderm_wk4_M1_2	0.040649887	0.834640781	0.04783317	0.051624263	0.046230393	0.174721476	Definitive-Endoderm	wk4
StrandedData	Definitive-Endoderm_wk6_M15_1	0.061042018	1.509131827	0.06894129	0.076955926	0.058728527	0.257979149	Definitive-Endoderm	wk6
StrandedData	Definitive-Endoderm_wk6_M15_2	0.045857852	0.827355892	0.050268265	0.056803953	0.051739002	0.203934296	Definitive-Endoderm	wk6
StrandedData	Definitive-Endoderm_wk6_M9_1	0.073024177	2.817326939	0.077705782	0.083750715	0.09188059	0.301187049	Definitive-Endoderm	wk6
StrandedData	Definitive-Endoderm_wk8_M10_1	0.055697247	1.073073562	0.061568623	0.0693704	0.063588293	0.222588094	Definitive-Endoderm	wk8
StrandedData	Definitive-Endoderm_wk8_M8_1	0.052690296	1.145464434	0.056573639	0.068222879	0.058803252	0.220824953	Definitive-Endoderm	wk8
StrandedData	Definitive-Endoderm_wk8_M8_2	0.042349536	0.734723409	0.049282194	0.053863623	0.049905895	0.186730992	Definitive-Endoderm	wk8
StrandedData	Definitive-Endoderm_wk10_A_2	0.085553654	1.725070626	0.091659028	0.076467215	0.101930305	0.241745658	Definitive-Endoderm	wk10
StrandedData	Definitive-Endoderm_wk10_A_3	0.039470685	1.289271194	0.051713873	0.057216724	0.055098754	0.182722495	Definitive-Endoderm	wk10
StrandedData	Definitive-Endoderm_wk10_B_1	0.049908501	2.059446829	0.077613926	0.067117848	0.067117848	0.189933523	Definitive-Endoderm	wk10
StrandedData	Gut-Epi_wk4_M1_1	0.052065332	0.816167149	0.059047609	0.068905774	0.060198155	0.22224431	Gut-Epi	wk4
StrandedData	Gut-Epi_wk4_M1_2	0.03926365	0.733253306	0.045659508	0.051153465	0.045058173	0.176709941	Gut-Epi	wk4
StrandedData	Gut-Epi_wk6_M15_1	0.047327621	0.805439754	0.054720252	0.064188882	0.054596139	0.205628921	Gut-Epi	wk6
StrandedData	Gut-Epi_wk6_M15_2	0.042804982	0.64901391	0.051661976	0.057492547	0.051608486	0.201271376	Gut-Epi	wk6
StrandedData	Gut-Epi_wk6_M9_1	0.069876526	2.134174087	0.074546109	0.079963308	0.082504368	0.275247527	Gut-Epi	wk6
StrandedData	Gut-Epi_wk8_M10_1	0.053976731	1.059723167	0.058947423	0.065106352	0.060938849	0.219713491	Gut-Epi	wk8
StrandedData	Gut-Epi_wk8_M8_1	0.053976603	0.967244341	0.059430559	0.066541998	0.058068323	0.215986041	Gut-Epi	wk8
StrandedData	Gut-Epi_wk8_M8_2	0.039063849	0.619073613	0.04573368	0.05101251	0.044735211	0.174377135	Gut-Epi	wk8
StrandedData	Gut-Epi_wk10_A_2	0.063298297	1.856770855	0.067185264	0.073096315	0.073826318	0.251618435	Gut-Epi	wk10
StrandedData	Gut-Epi_wk10_A_3	0.04191212	0.967587868	0.048202198	0.052782289	0.047515224	0.181056524	Gut-Epi	wk10
StrandedData	Gut-Epi_wk10_A_4	0.045017033	1.294755752	0.049596781	0.054964374	0.053294511	0.18897783	Gut-Epi	wk10
StrandedData	Gut-Epi_wk10_B_1	0.054102475	0.95395317	0.060649634	0.067518336	0.0625563	0.224003678	Gut-Epi	wk10
StrandedData	Gut-Epi_wk10_B_3	0.042538908	0.926490355	0.048104525	0.0525006	0.047462736	0.179161097	Gut-Epi	wk10
StrandedData	Pancreatic-Prog_wk4_M1_1	0.035609582	0.55804113	0.051698743	0.069442033	0.049115426	0.181338037	Pancreatic-Prog	wk4
StrandedData	Pancreatic-Prog_wk4_M1_2	0.041422245	0.554813179	0.037768721	0.058329408	0.037438461	0.162342215	Pancreatic-Prog	wk4
StrandedData	Pancreatic-Prog_wk4_M14_1	0.058498827	0.595795833	0.077269988	0.052509448	0.04811624	0.191381478	Pancreatic-Prog	wk4
StrandedData	Pancreatic-Prog_wk6_M15_1	0.022347277	0.780257666	0.050774824	0.056299262	0.058383202	0.19780952	Pancreatic-Prog	wk6
StrandedData	Pancreatic-Prog_wk6_M15_2	0.043839393	0.586932591	0.053817249	0.05728297	0.047006244	0.199563289	Pancreatic-Prog	wk6
StrandedData	Pancreatic-Prog_wk6_M9_1	0.068865044	2.010088169	0.076684616	0.080771048	0.080905333	0.270625558	Pancreatic-Prog	wk6
StrandedData	Pancreatic-Prog_wk8_M10_1	0.057625144	1.015519679	0.058667799	0.069261236	0.062683977	0.227855151	Pancreatic-Prog	wk8
StrandedData	Pancreatic-Prog_wk8_M8_1	0.053632631	0.838659019	0.057377889	0.063399002	0.05759211	0.212158656	Pancreatic-Prog	wk8
StrandedData	Pancreatic-Prog_wk8_M8_2	0.037417453	0.546206118	0.045083958	0.049619811	0.043204822	0.171004893	Pancreatic-Prog	wk8
StrandedData	Pancreatic-Prog_wk10_A_2	0.066253854	1.179286884	0.066253854	0.054234137	0.054234137	0.198571318	Pancreatic-Prog	wk10
StrandedData	Pancreatic-Prog_wk10_A_3	0.04039834	0.853781794	0.042809148	0.053117092	0.044433577	0.171310775	Pancreatic-Prog	wk10
StrandedData	Pancreatic-Prog_wk10_A_4	0.044773913	1.067963803	0.054272651	0.056736351	0.053246742	0.193728767	Pancreatic-Prog	wk10
StrandedData	Pancreatic-Prog_wk10_B_1	0.051572362	0.818042603	0.056726673	0.063704345	0.060791539	0.234015845	Pancreatic-Prog	wk10
StrandedData	Pancreatic-Prog_wk10_B_3	0.041931242	0.896422654	0.047789797	0.05244826	0.043425476	0.178906726	Pancreatic-Prog	wk10
StrandedData	Hematopoietic_wk4_M1_1	0.053613733	0.945805479	0.064496999	0.075466543	0.063812488	0.22887977	Hematopoietic	wk4
StrandedData	Hematopoietic_wk4_M1_2	0.03866198	0.68194856	0.044612928	0.05152041	0.043036597	0.173780229	Hematopoietic	wk4
StrandedData	Hematopoietic_wk4_M14_1	0.055331137	0.681041087	0.058823537	0.063935927	0.054513961	0.203743147	Hematopoietic	wk4
StrandedData	Hematopoietic_wk6_M15_1	0.057259759	0.960214189	0.059759904	0.074497003	0.060004379	0.244966548	Hematopoietic	wk6
StrandedData	Hematopoietic_wk6_M15_2	0.044593042	0.639964373	0.053506878	0.057646615	0.055455944	0.211628864	Hematopoietic	wk6
StrandedData	Hematopoietic_wk6_M9_1	0.0994868	2.801014512	0.095413363	0.087875393	0.113385221	0.360128934	Hematopoietic	wk6
StrandedData	Hematopoietic_wk8_M10_1	0.058179407	1.113568383	0.06435266	0.073704359	0.064046516	0.235099938	Hematopoietic	wk8
StrandedData	Hematopoietic_wk8_M8_1	0.065731672	0.925169952	0.06033824	0.070812496	0.064488651	0.232650957	Hematopoietic	wk8
StrandedData	Hematopoietic_wk8_M8_2	0.041467087	1.017791737	0.050861513	0.057527741	0.049798354	0.181975737	Hematopoietic	wk8
StrandedData	Hematopoietic_wk10_A_2	0.071992858	2.368983757	0.083022598	0.072832151	0.089811057	0.305183764	Hematopoietic	wk10
StrandedData	Hematopoietic_wk10_A_3	0.043483324	1.263506926	0.051575415	0.052254348	0.054317133	0.201679381	Hematopoietic	wk10
StrandedData	Hematopoietic_wk10_A_4	0.050179446	1.490675884	0.052087452	0.063076849	0.058271102	0.212671613	Hematopoietic	wk10
StrandedData	Hematopoietic_wk10_B_1	0.064742189	1.018875012	0.070562168	0.080941962	0.067882079	0.261044233	Hematopoietic	wk10
StrandedData	Hematopoietic_wk10_B_3	0.045984764	2.133407374	0.063601045	0.058162529	0.069012042	0.23533419	Hematopoietic	wk10
StrandedData	Adipogenic-MSC-Fib_wk4_M1_1	0.052384712	0.692034364	0.057794948	0.067081244	0.060620512	0.22397956	Adipogenic-MSC-Fib	wk4
StrandedData	Adipogenic-MSC-Fib_wk4_M1_2	0.037717208	0.549225758	0.044524826	0.05210469	0.041758546	0.17235888	Adipogenic-MSC-Fib	wk4
StrandedData	Adipogenic-MSC-Fib_wk6_M15_1	0.047297426	0.837275439	0.055075537	0.065141949	0.056953329	0.207573801	Adipogenic-MSC-Fib	wk6
StrandedData	Adipogenic-MSC-Fib_wk6_M15_2	0.042439383	0.655775179	0.048817298	0.055759788	0.050642877	0.194900695	Adipogenic-MSC-Fib	wk6
StrandedData	Adipogenic-MSC-Fib_wk6_M9_1	0.071951747	2.255660302	0.077007768	0.083906775	0.086280034	0.287905575	Adipogenic-MSC-Fib	wk6
StrandedData	Adipogenic-MSC-Fib_wk8_M10_1	0.056283448	1.241233244	0.060217737	0.067208833	0.064025907	0.221874835	Adipogenic-MSC-Fib	wk8
StrandedData	Adipogenic-MSC-Fib_wk8_M8_1	0.053408806	1.004695905	0.059602674	0.066303842	0.056850653	0.21536404	Adipogenic-MSC-Fib	wk8
StrandedData	Adipogenic-MSC-Fib_wk8_M8_2	0.039131973	0.761689207	0.045831368	0.051205663	0.044924825	0.173671355	Adipogenic-MSC-Fib	wk8
StrandedData	Adipogenic-MSC-Fib_wk10_A_2	0.066863457	2.20274288	0.071901994	0.078580214	0.07913629	0.265332831	Adipogenic-MSC-Fib	wk10
StrandedData	Adipogenic-MSC-Fib_wk10_A_3	0.045890921	1.411305232	0.051889462	0.057181835	0.052443789	0.19498343	Adipogenic-MSC-Fib	wk10
StrandedData	Adipogenic-MSC-Fib_wk10_A_4	0.047981976	1.695216192	0.054705731	0.059548137	0.057907738	0.209929488	Adipogenic-MSC-Fib	wk10
StrandedData	Adipogenic-MSC-Fib_wk10_B_1	0.055473813	1.106907381	0.062673013	0.068440031	0.064246948	0.229305884	Adipogenic-MSC-Fib	wk10
StrandedData	Adipogenic-MSC-Fib_wk10_B_3	0.044424218	1.320724068	0.049262586	0.055238405	0.050082407	0.189533576	Adipogenic-MSC-Fib	wk10
StrandedData	Chondrogenic-MSC-Fib_wk6_M15_1	0.048781639	0.877228916	0.053991379	0.065074896	0.057736837	0.208503236	Chondrogenic-MSC-Fib	wk6
StrandedData	Chondrogenic-MSC-Fib_wk6_M15_2	0.04143688	0.912381502	0.049636474	0.058267341	0.053149599	0.198536192	Chondrogenic-MSC-Fib	wk6
StrandedData	Chondrogenic-MSC-Fib_wk6_M9_1	0.080087387	2.519768214	0.083388304	0.085903995	0.087745113	0.313740334	Chondrogenic-MSC-Fib	wk6
StrandedData	Chondrogenic-MSC-Fib_wk8_M10_1	0.052100192	1.12171216	0.059047461	0.064904231	0.061350509	0.220982429	Chondrogenic-MSC-Fib	wk8
StrandedData	Chondrogenic-MSC-Fib_wk8_M8_1	0.052703204	0.937837456	0.05729104	0.064880657	0.057294887	0.203973629	Chondrogenic-MSC-Fib	wk8
StrandedData	Chondrogenic-MSC-Fib_wk8_M8_2	0.039580576	0.832007406	0.04575906	0.052907983	0.044866498	0.171395634	Chondrogenic-MSC-Fib	wk8
StrandedData	Chondrogenic-MSC-Fib_wk10_A_2	0.064009703	2.622853954	0.086730269	0.067176649	0.074728375	0.281536721	Chondrogenic-MSC-Fib	wk10
StrandedData	Chondrogenic-MSC-Fib_wk10_A_3	0.042839453	1.381698377	0.052749362	0.057248609	0.055691691	0.190574126	Chondrogenic-MSC-Fib	wk10
StrandedData	Chondrogenic-MSC-Fib_wk10_A_4	0.047925341	1.566163582	0.05393203	0.057786997	0.055241319	0.201090179	Chondrogenic-MSC-Fib	wk10
StrandedData	Chondrogenic-MSC-Fib_wk10_B_1	0.057005448	1.004048523	0.065941582	0.068513718	0.066730293	0.2267521	Chondrogenic-MSC-Fib	wk10
StrandedData	Chondrogenic-MSC-Fib_wk10_B_3	0.048309724	1.526386492	0.055980804	0.057769939	0.054484011	0.195818168	Chondrogenic-MSC-Fib	wk10
StrandedData	Cycling-MSC-Fib_wk4_M1_1	0.048542902	0.698889397	0.059889812	0.069826063	0.056799268	0.220781847	Cycling-MSC-Fib	wk4
StrandedData	Cycling-MSC-Fib_wk4_M1_2	0.038171111	0.526330961	0.043539023	0.05037069	0.042633436	0.172592581	Cycling-MSC-Fib	wk4
StrandedData	Cycling-MSC-Fib_wk6_M15_1	0.045424216	0.754408969	0.054351518	0.06655572	0.056963614	0.207872599	Cycling-MSC-Fib	wk6
StrandedData	Cycling-MSC-Fib_wk6_M15_2	0.042780155	0.620546268	0.048690893	0.055504353	0.050407443	0.192777691	Cycling-MSC-Fib	wk6
StrandedData	Cycling-MSC-Fib_wk6_M9_1	0.068807969	2.045565963	0.073443302	0.079802209	0.08172204	0.272021922	Cycling-MSC-Fib	wk6
StrandedData	Cycling-MSC-Fib_wk8_M10_1	0.053829812	1.124781446	0.059606222	0.064914662	0.063254314	0.215190734	Cycling-MSC-Fib	wk8
StrandedData	Cycling-MSC-Fib_wk8_M8_1	0.055158458	0.915122567	0.059227881	0.066574036	0.056676761	0.211582899	Cycling-MSC-Fib	wk8
StrandedData	Cycling-MSC-Fib_wk8_M8_2	0.038649112	0.675951972	0.045437582	0.050224194	0.04361315	0.172095759	Cycling-MSC-Fib	wk8
StrandedData	Cycling-MSC-Fib_wk10_A_2	0.066251491	1.891225835	0.065313106	0.073502428	0.075208022	0.259282527	Cycling-MSC-Fib	wk10
StrandedData	Cycling-MSC-Fib_wk10_A_3	0.045560947	1.315409953	0.048685228	0.055830212	0.050916759	0.186492538	Cycling-MSC-Fib	wk10
StrandedData	Cycling-MSC-Fib_wk10_A_4	0.048651704	1.616845506	0.055840709	0.057386065	0.059101727	0.20577702	Cycling-MSC-Fib	wk10
StrandedData	Cycling-MSC-Fib_wk10_B_1	0.055353275	1.001208119	0.061179741	0.067630184	0.063122141	0.218629745	Cycling-MSC-Fib	wk10
StrandedData	Cycling-MSC-Fib_wk10_B_3	0.045984258	1.177879695	0.050814657	0.055312349	0.050178248	0.189504541	Cycling-MSC-Fib	wk10
StrandedData	MSC-Fib_wk4_M1_1	0.053379087	0.981179115	0.059094895	0.074130412	0.080864091	0.201915311	MSC-Fib	wk4
StrandedData	MSC-Fib_wk4_M1_2	0.042659547	0.738603233	0.039147783	0.043995396	0.046040751	0.162997936	MSC-Fib	wk4
StrandedData	MSC-Fib_wk4_M14_1	0.057712303	0.577272139	0.07708618	0.052883436	0.049292998	0.18817089	MSC-Fib	wk4
StrandedData	MSC-Fib_wk6_M15_1	0.048624461	0.894353633	0.0550834	0.063429487	0.059440074	0.212683612	MSC-Fib	wk6
StrandedData	MSC-Fib_wk6_M15_2	0.042546693	0.659099351	0.049345554	0.056670853	0.05046215	0.191806966	MSC-Fib	wk6
StrandedData	MSC-Fib_wk6_M9_1	0.071499778	2.178464391	0.077842076	0.081182081	0.086211205	0.285344474	MSC-Fib	wk6
StrandedData	MSC-Fib_wk8_M10_1	0.053813618	1.126522388	0.057624588	0.064182939	0.061101168	0.214901449	MSC-Fib	wk8
StrandedData	MSC-Fib_wk8_M8_1	0.053514046	0.95436371	0.05843045	0.066224083	0.056991354	0.213015949	MSC-Fib	wk8
StrandedData	MSC-Fib_wk8_M8_2	0.038589193	0.68070003	0.044361153	0.050195042	0.043520734	0.172080172	MSC-Fib	wk8
StrandedData	MSC-Fib_wk10_A_2	0.066133701	2.05331514	0.067538278	0.077381553	0.077080689	0.265442112	MSC-Fib	wk10
StrandedData	MSC-Fib_wk10_A_3	0.044090833	1.271642408	0.049610173	0.05336894	0.050232281	0.18893413	MSC-Fib	wk10
StrandedData	MSC-Fib_wk10_A_4	0.049841982	1.600310139	0.052166054	0.058606909	0.054762936	0.198514252	MSC-Fib	wk10
StrandedData	MSC-Fib_wk10_B_1	0.051896287	1.026200776	0.060397135	0.06671338	0.060450153	0.217117919	MSC-Fib	wk10
StrandedData	MSC-Fib_wk10_B_3	0.041283574	1.157674198	0.047003792	0.053169004	0.048514454	0.180841706	MSC-Fib	wk10
StrandedData	MyoFib_wk4_M1_1	0.050069288	0.72442447	0.062820087	0.067683985	0.060342869	0.213274784	MyoFib	wk4
StrandedData	MyoFib_wk4_M1_2	0.038878441	0.679302632	0.044848959	0.05131422	0.043638154	0.172281576	MyoFib	wk4
StrandedData	MyoFib_wk6_M15_1	0.048119273	0.918881891	0.056229921	0.065933334	0.057444857	0.218917402	MyoFib	wk6
StrandedData	MyoFib_wk6_M15_2	0.043326868	0.696879474	0.048742665	0.0583096	0.051678478	0.200273423	MyoFib	wk6
StrandedData	MyoFib_wk6_M9_1	0.071613786	2.150097917	0.077732212	0.085082842	0.084855061	0.290497324	MyoFib	wk6
StrandedData	MyoFib_wk8_M10_1	0.057104922	1.215784174	0.062372173	0.068452418	0.064968319	0.234814433	MyoFib	wk8
StrandedData	MyoFib_wk8_M8_1	0.055912557	0.990141907	0.060764591	0.067953478	0.058231479	0.221982562	MyoFib	wk8
StrandedData	MyoFib_wk8_M8_2	0.040594657	0.748659881	0.045420469	0.049131754	0.044013772	0.171761401	MyoFib	wk8
StrandedData	MyoFib_wk10_A_2	0.074616574	2.49989788	0.085688748	0.078664496	0.08836451	0.275776398	MyoFib	wk10
StrandedData	MyoFib_wk10_A_3	0.044881211	1.226659147	0.047305224	0.054027779	0.053735894	0.189763958	MyoFib	wk10
StrandedData	MyoFib_wk10_A_4	0.050876552	1.663503708	0.057077468	0.058378533	0.059805027	0.212773841	MyoFib	wk10
StrandedData	MyoFib_wk10_B_1	0.051660635	0.838630967	0.063255767	0.061545126	0.063480939	0.220120838	MyoFib	wk10
StrandedData	MyoFib_wk10_B_3	0.0428921	1.279980496	0.053686471	0.054589858	0.045974369	0.190326807	MyoFib	wk10
StrandedData	Muscle_wk4_M1_2	0	2.631578947	0	0	0	0	Muscle	wk4
StrandedData	Muscle_wk4_M14_1	0.051690272	0.769783434	0.067186935	0.06969981	0.052884615	0.148895293	Muscle	wk4
StrandedData	Muscle_wk6_M15_1	0.047158015	0.706959577	0.053585208	0.069082598	0.047045333	0.209891312	Muscle	wk6
StrandedData	Muscle_wk6_M9_1	0.055519258	1.625228326	0.069925781	0.076228914	0.068326754	0.268655114	Muscle	wk6
StrandedData	Muscle_wk8_M10_1	0.051334587	0.50587044	0.056306449	0.067625551	0.057940277	0.214865725	Muscle	wk8
StrandedData	Muscle_wk8_M8_1	0.047409281	0.540940147	0.058064802	0.062531831	0.053467837	0.201135339	Muscle	wk8
StrandedData	Muscle_wk8_M8_2	0.039682767	0.410314204	0.044637319	0.050531618	0.042927019	0.169480099	Muscle	wk8
StrandedData	Muscle_wk10_A_2	0.053225152	0.7288329	0.057982365	0.07062881	0.053275846	0.212483385	Muscle	wk10
StrandedData	Muscle_wk10_A_3	0.038194511	0.442623786	0.042277911	0.051007819	0.042874909	0.164198663	Muscle	wk10
StrandedData	Muscle_wk10_A_4	0.037274076	0.540463105	0.046410745	0.052048355	0.042645145	0.167186592	Muscle	wk10
StrandedData	Muscle_wk10_B_1	0.049461132	0.424224967	0.059881927	0.067289865	0.058129589	0.213710805	Muscle	wk10
StrandedData	Muscle_wk10_B_3	0.040415517	0.402315592	0.040188979	0.05010032	0.043127334	0.156317929	Muscle	wk10
StrandedData	Pericytes_wk4_M1_1	0.055000846	0.526360115	0.067684758	0.071829575	0.058133215	0.201993506	Pericytes	wk4
StrandedData	Pericytes_wk4_M1_2	0.037846808	0.455164816	0.042211904	0.051464467	0.030279632	0.161782939	Pericytes	wk4
StrandedData	Pericytes_wk4_M14_1	0.055075384	0.487923428	0.03755798	0.048490583	0.037850337	0.17304921	Pericytes	wk4
StrandedData	Pericytes_wk6_M15_1	0.053152897	0.85748114	0.056180261	0.063526066	0.054445308	0.218456394	Pericytes	wk6
StrandedData	Pericytes_wk6_M15_2	0.040990305	0.69089713	0.049118787	0.054549546	0.051967182	0.194020824	Pericytes	wk6
StrandedData	Pericytes_wk6_M9_1	0.076548555	2.534234123	0.08092604	0.088168408	0.089958947	0.307113907	Pericytes	wk6
StrandedData	Pericytes_wk8_M10_1	0.05557467	1.172448213	0.060403154	0.06752786	0.06373109	0.225831895	Pericytes	wk8
StrandedData	Pericytes_wk8_M8_1	0.052624608	1.002549488	0.060658246	0.066164628	0.058985623	0.223993173	Pericytes	wk8
StrandedData	Pericytes_wk8_M8_2	0.040373818	0.720936965	0.048146154	0.05283812	0.045974708	0.175134827	Pericytes	wk8
StrandedData	Pericytes_wk10_A_2	0.0906764	2.420322186	0.071177646	0.083267798	0.093666524	0.30118744	Pericytes	wk10
StrandedData	Pericytes_wk10_A_3	0.04560872	1.291841355	0.053975711	0.056627281	0.052685757	0.191725387	Pericytes	wk10
StrandedData	Pericytes_wk10_A_4	0.049934439	1.555098202	0.052989025	0.055293102	0.056160558	0.197507551	Pericytes	wk10
StrandedData	Pericytes_wk10_B_1	0.054666625	1.073300614	0.063547053	0.069057031	0.065008016	0.234136379	Pericytes	wk10
