	StrandDecidingMethod	A2CEditingIndex	A2GEditingIndex	A2TEditingIndex	C2AEditingIndex	C2GEditingIndex	C2TEditingIndex	CellType	Teratoma	Guide
Hematopoietic_ter3_AAVS1	StrandedData	0.032070127	0.673702099	0.046189729	0.040846087	0.03741172	0.139959347	Hematopoietic	ter3	AAVS1
Hematopoietic_ter3_ADAR1	StrandedData	0.040247927	0.472870081	0.045075501	0.037709245	0.026235529	0.137583123	Hematopoietic	ter3	ADAR1
Hematopoietic_ter3_ADARB1	StrandedData	0.03026122	0.887256157	0.03956868	0.037990173	0.033793782	0.120377827	Hematopoietic	ter3	ADARB1
Hematopoietic_ter3_ADARB2	StrandedData	0.029228156	0.36522327	0.030055119	0.033070989	0.0241801	0.111908385	Hematopoietic	ter3	ADARB2
Hematopoietic_ter3_NTC	StrandedData	0.031024768	0.671794818	0.036306874	0.040098946	0.034318161	0.124604576	Hematopoietic	ter3	NTC
Hematopoietic_ter4_AAVS1	StrandedData	0.027441295	0.561491071	0.037238108	0.017583963	0.033208963	0.117109732	Hematopoietic	ter4	AAVS1
Hematopoietic_ter4_ADAR1	StrandedData	0.019886251	0.198507226	0.023862552	0.032366388	0.028321735	0.129339962	Hematopoietic	ter4	ADAR1
Hematopoietic_ter4_ADARB1	StrandedData	0.029086678	1.365201705	0.045700042	0.020390686	0.040773057	0.162892979	Hematopoietic	ter4	ADARB1
Hematopoietic_ter4_ADARB2	StrandedData	0.025631259	0.628074024	0.037730342	0.038327763	0.026510185	0.113465125	Hematopoietic	ter4	ADARB2
Hematopoietic_ter4_NTC	StrandedData	0.027664083	0.642862391	0.033033415	0.035386053	0.031152648	0.118763193	Hematopoietic	ter4	NTC
Adipogenic-MSC-Fib_ter1_AAVS1	StrandedData	0.034536012	0.621024128	0.039964032	0.041835592	0.040653441	0.147156331	Adipogenic-MSC-Fib	ter1	AAVS1
Adipogenic-MSC-Fib_ter1_ADAR1	StrandedData	0.034549566	0.460113945	0.037259844	0.041888647	0.038959959	0.137412189	Adipogenic-MSC-Fib	ter1	ADAR1
Adipogenic-MSC-Fib_ter1_ADARB1	StrandedData	0.034353166	0.603265323	0.036167157	0.042167445	0.037129637	0.143898922	Adipogenic-MSC-Fib	ter1	ADARB1
Adipogenic-MSC-Fib_ter1_ADARB2	StrandedData	0.031911544	0.586427726	0.039553994	0.040759403	0.037226946	0.13753861	Adipogenic-MSC-Fib	ter1	ADARB2
Adipogenic-MSC-Fib_ter1_NTC	StrandedData	0.034964663	0.627380301	0.038928495	0.042630469	0.038213895	0.144586962	Adipogenic-MSC-Fib	ter1	NTC
Adipogenic-MSC-Fib_ter2_AAVS1	StrandedData	0.033213846	0.582802072	0.039483953	0.03856025	0.039709286	0.141659324	Adipogenic-MSC-Fib	ter2	AAVS1
Adipogenic-MSC-Fib_ter2_ADAR1	StrandedData	0.032111871	0.350077182	0.036402334	0.040604426	0.035538641	0.132464038	Adipogenic-MSC-Fib	ter2	ADAR1
Adipogenic-MSC-Fib_ter2_ADARB1	StrandedData	0.033776632	0.533906004	0.038145708	0.039904001	0.0352235	0.137701599	Adipogenic-MSC-Fib	ter2	ADARB1
Adipogenic-MSC-Fib_ter2_ADARB2	StrandedData	0.03184244	0.65045796	0.037263367	0.039538038	0.040241279	0.146878584	Adipogenic-MSC-Fib	ter2	ADARB2
Adipogenic-MSC-Fib_ter2_NTC	StrandedData	0.033451335	0.593063255	0.038073518	0.040638926	0.036649587	0.139598169	Adipogenic-MSC-Fib	ter2	NTC
Adipogenic-MSC-Fib_ter3_AAVS1	StrandedData	0.034259923	0.680219611	0.038280804	0.037676852	0.034860873	0.128899074	Adipogenic-MSC-Fib	ter3	AAVS1
Adipogenic-MSC-Fib_ter3_ADAR1	StrandedData	0.030800274	0.347992224	0.03703028	0.041046294	0.034974303	0.123037877	Adipogenic-MSC-Fib	ter3	ADAR1
Adipogenic-MSC-Fib_ter3_ADARB1	StrandedData	0.032494689	0.633020628	0.037453852	0.040397939	0.036976077	0.136064822	Adipogenic-MSC-Fib	ter3	ADARB1
Adipogenic-MSC-Fib_ter3_ADARB2	StrandedData	0.032562341	0.655665986	0.037110848	0.04098923	0.035647225	0.136269663	Adipogenic-MSC-Fib	ter3	ADARB2
Adipogenic-MSC-Fib_ter3_NTC	StrandedData	0.033087454	0.680242087	0.036824953	0.040697836	0.037018248	0.138657859	Adipogenic-MSC-Fib	ter3	NTC
Adipogenic-MSC-Fib_ter4_AAVS1	StrandedData	0.0328256	0.631897891	0.035677588	0.040890307	0.038429356	0.138789894	Adipogenic-MSC-Fib	ter4	AAVS1
Adipogenic-MSC-Fib_ter4_ADAR1	StrandedData	0.03134246	0.45545053	0.034684496	0.035372509	0.039632568	0.136450914	Adipogenic-MSC-Fib	ter4	ADAR1
Adipogenic-MSC-Fib_ter4_ADARB1	StrandedData	0.037963451	0.672640645	0.035067658	0.038832308	0.042234499	0.143729677	Adipogenic-MSC-Fib	ter4	ADARB1
Adipogenic-MSC-Fib_ter4_ADARB2	StrandedData	0.032842553	0.636863256	0.036325909	0.043248732	0.03927035	0.13960557	Adipogenic-MSC-Fib	ter4	ADARB2
Adipogenic-MSC-Fib_ter4_NTC	StrandedData	0.032097904	0.640341766	0.036732665	0.039412519	0.036408426	0.134465561	Adipogenic-MSC-Fib	ter4	NTC
Chondrogenic-MSC-Fib_ter1_AAVS1	StrandedData	0.042942449	0.847117069	0.046181892	0.039944892	0.045648701	0.153897516	Chondrogenic-MSC-Fib	ter1	AAVS1
Chondrogenic-MSC-Fib_ter1_ADAR1	StrandedData	0.032094486	0.472903885	0.038510911	0.033193919	0.019918996	0.13926653	Chondrogenic-MSC-Fib	ter1	ADAR1
Chondrogenic-MSC-Fib_ter1_ADARB1	StrandedData	0.045731707	0.551690144	0.053349592	0.035036496	0.052545539	0.200155461	Chondrogenic-MSC-Fib	ter1	ADARB1
Chondrogenic-MSC-Fib_ter1_ADARB2	StrandedData	0.032234868	0.733737135	0.037192234	0.052847472	0.047816786	0.123223941	Chondrogenic-MSC-Fib	ter1	ADARB2
Chondrogenic-MSC-Fib_ter1_NTC	StrandedData	0.037046779	0.679122772	0.044452841	0.049885264	0.044804892	0.167154593	Chondrogenic-MSC-Fib	ter1	NTC
Chondrogenic-MSC-Fib_ter2_AAVS1	StrandedData	0.027347537	0.578549177	0.043500416	0.044103934	0.034026465	0.123393057	Chondrogenic-MSC-Fib	ter2	AAVS1
Chondrogenic-MSC-Fib_ter2_ADAR1	StrandedData	0.057621389	0.260686218	0.049942374	0.044581419	0.032955316	0.143294218	Chondrogenic-MSC-Fib	ter2	ADAR1
Chondrogenic-MSC-Fib_ter2_ADARB1	StrandedData	0.040423305	0.532200173	0.029025169	0.044899707	0.033417573	0.134578269	Chondrogenic-MSC-Fib	ter2	ADARB1
Chondrogenic-MSC-Fib_ter3_ADARB1	StrandedData	0.025000938	0.626234763	0.041244844	0.034807271	0.033518545	0.122362761	Chondrogenic-MSC-Fib	ter3	ADARB1
Chondrogenic-MSC-Fib_ter3_NTC	StrandedData	0.030504447	1.055123866	0.035319238	0.041403161	0.042214645	0.152453858	Chondrogenic-MSC-Fib	ter3	NTC
Chondrogenic-MSC-Fib_ter4_AAVS1	StrandedData	0.044387891	1.17612639	0.052274946	0.057756503	0.054821341	0.212098406	Chondrogenic-MSC-Fib	ter4	AAVS1
Chondrogenic-MSC-Fib_ter4_ADARB1	StrandedData	0.028851009	0.514403292	0.031254508	0.043437342	0.057908071	0.156679362	Chondrogenic-MSC-Fib	ter4	ADARB1
Chondrogenic-MSC-Fib_ter4_NTC	StrandedData	0.031512956	0.676035747	0.035884614	0.039914952	0.03795908	0.142295704	Chondrogenic-MSC-Fib	ter4	NTC
Cycling-MSC-Fib_ter1_AAVS1	StrandedData	0.03638784	0.57123353	0.039106152	0.042917002	0.042741188	0.142021618	Cycling-MSC-Fib	ter1	AAVS1
Cycling-MSC-Fib_ter1_ADAR1	StrandedData	0.031537015	0.391727128	0.037414598	0.040202073	0.035842734	0.137914885	Cycling-MSC-Fib	ter1	ADAR1
Cycling-MSC-Fib_ter1_ADARB1	StrandedData	0.033465126	0.557052489	0.037089318	0.040677591	0.035203689	0.134241264	Cycling-MSC-Fib	ter1	ADARB1
Cycling-MSC-Fib_ter1_ADARB2	StrandedData	0.031746032	0.589020219	0.039197849	0.039201814	0.039925569	0.138516678	Cycling-MSC-Fib	ter1	ADARB2
Cycling-MSC-Fib_ter1_NTC	StrandedData	0.032994293	0.60222371	0.037458546	0.040078762	0.03570751	0.13659075	Cycling-MSC-Fib	ter1	NTC
Cycling-MSC-Fib_ter2_AAVS1	StrandedData	0.030941746	0.560502321	0.036069276	0.038255355	0.030472721	0.125789214	Cycling-MSC-Fib	ter2	AAVS1
Cycling-MSC-Fib_ter2_ADAR1	StrandedData	0.032177953	0.36762323	0.035428468	0.037524226	0.036768521	0.132103117	Cycling-MSC-Fib	ter2	ADAR1
Cycling-MSC-Fib_ter2_ADARB1	StrandedData	0.031093739	0.530847136	0.037974011	0.038179105	0.034009955	0.128649775	Cycling-MSC-Fib	ter2	ADARB1
Cycling-MSC-Fib_ter2_ADARB2	StrandedData	0.030548286	0.597499245	0.035203397	0.040022881	0.033417538	0.124494242	Cycling-MSC-Fib	ter2	ADARB2
Cycling-MSC-Fib_ter2_NTC	StrandedData	0.032619844	0.572475148	0.038521161	0.041750739	0.03521153	0.133699006	Cycling-MSC-Fib	ter2	NTC
Cycling-MSC-Fib_ter3_AAVS1	StrandedData	0.030981928	0.648027287	0.036143716	0.035490426	0.034299185	0.126975681	Cycling-MSC-Fib	ter3	AAVS1
Cycling-MSC-Fib_ter3_ADAR1	StrandedData	0.027937946	0.341768216	0.033190204	0.034725347	0.030905891	0.123847938	Cycling-MSC-Fib	ter3	ADAR1
Cycling-MSC-Fib_ter3_ADARB1	StrandedData	0.029126822	0.579846468	0.033614393	0.038044795	0.035548329	0.127781585	Cycling-MSC-Fib	ter3	ADARB1
Cycling-MSC-Fib_ter3_ADARB2	StrandedData	0.031606279	0.638530119	0.034992332	0.039756958	0.034023798	0.124171994	Cycling-MSC-Fib	ter3	ADARB2
Cycling-MSC-Fib_ter3_NTC	StrandedData	0.031387615	0.636028835	0.035387733	0.038989824	0.03533876	0.131751463	Cycling-MSC-Fib	ter3	NTC
Cycling-MSC-Fib_ter4_AAVS1	StrandedData	0.033255626	0.633496812	0.035927264	0.037163701	0.035931517	0.12770763	Cycling-MSC-Fib	ter4	AAVS1
Cycling-MSC-Fib_ter4_ADAR1	StrandedData	0.029633331	0.429123696	0.030214201	0.035469693	0.031628358	0.129637723	Cycling-MSC-Fib	ter4	ADAR1
Cycling-MSC-Fib_ter4_ADARB1	StrandedData	0.030228976	0.68061988	0.032266227	0.038489287	0.041422232	0.13570229	Cycling-MSC-Fib	ter4	ADARB1
Cycling-MSC-Fib_ter4_ADARB2	StrandedData	0.032299285	0.677462784	0.035593958	0.038293723	0.035811728	0.134900237	Cycling-MSC-Fib	ter4	ADARB2
Cycling-MSC-Fib_ter4_NTC	StrandedData	0.030450714	0.635397273	0.034658884	0.037043631	0.033810735	0.125927056	Cycling-MSC-Fib	ter4	NTC
MSC-Fib_ter1_AAVS1	StrandedData	0.033169033	0.614352841	0.037452946	0.03971859	0.040075668	0.145191226	MSC-Fib	ter1	AAVS1
MSC-Fib_ter1_ADAR1	StrandedData	0.035984448	0.501092246	0.038417244	0.044744391	0.040766769	0.146375635	MSC-Fib	ter1	ADAR1
MSC-Fib_ter1_ADARB1	StrandedData	0.035318472	0.599727406	0.039170567	0.043539054	0.039096472	0.143373808	MSC-Fib	ter1	ADARB1
MSC-Fib_ter1_ADARB2	StrandedData	0.036526208	0.624892765	0.038447901	0.042654666	0.038595963	0.148979885	MSC-Fib	ter1	ADARB2
MSC-Fib_ter1_NTC	StrandedData	0.034568631	0.636977905	0.038771377	0.04252681	0.039729359	0.144790799	MSC-Fib	ter1	NTC
MSC-Fib_ter2_AAVS1	StrandedData	0.033374004	0.580626037	0.040618199	0.041786927	0.036094193	0.142527641	MSC-Fib	ter2	AAVS1
MSC-Fib_ter2_ADAR1	StrandedData	0.032356248	0.382598658	0.035752015	0.043949554	0.034929664	0.141596691	MSC-Fib	ter2	ADAR1
MSC-Fib_ter2_ADARB1	StrandedData	0.033339514	0.537299404	0.038547869	0.042013727	0.037641104	0.141702412	MSC-Fib	ter2	ADARB1
MSC-Fib_ter2_ADARB2	StrandedData	0.038056218	0.64542508	0.043966073	0.044124309	0.03722193	0.140825639	MSC-Fib	ter2	ADARB2
